,placa,poi,TempoPOI
0,CAR0012,PONTO 24,30.0
1,CAR0012,PONTO 24,30.0
2,CAR0012,PONTO 24,30.0
3,CAR0012,PONTO 24,30.0
4,CAR0012,PONTO 24,30.0
5,CAR0012,PONTO 24,30.0
6,CAR0012,PONTO 24,30.0
7,CAR0012,PONTO 24,30.0
8,CAR0012,PONTO 24,30.0
9,CAR0012,PONTO 24,30.0
10,CAR0012,PONTO 24,30.0
11,CAR0012,PONTO 24,30.0
12,CAR0012,PONTO 24,30.0
13,CAR0012,PONTO 24,30.0
14,CAR0012,PONTO 24,30.0
15,CAR0012,PONTO 24,30.0
16,CAR0012,PONTO 24,30.0
17,CAR0012,PONTO 24,30.0
18,CAR0012,PONTO 24,30.0
19,CAR0012,PONTO 24,30.0
20,CAR0012,PONTO 24,30.0
21,CAR0012,PONTO 24,30.0
22,CAR0012,PONTO 24,30.0
23,CAR0012,PONTO 24,30.0
24,CAR0012,PONTO 24,30.0
25,CAR0012,PONTO 24,30.0
26,CAR0012,PONTO 24,30.0
27,CAR0012,PONTO 24,30.0
28,CAR0012,PONTO 24,30.0
29,CAR0012,PONTO 24,30.0
30,CAR0012,PONTO 24,30.0
31,CAR0012,PONTO 24,30.0
32,CAR0012,PONTO 24,30.0
33,CAR0012,PONTO 24,30.0
34,CAR0012,PONTO 24,30.0
35,CAR0012,PONTO 24,30.0
36,CAR0012,PONTO 24,30.0
37,CAR0012,PONTO 24,30.0
38,CAR0012,PONTO 24,30.0
39,CAR0012,PONTO 24,30.0
40,CAR0012,PONTO 24,30.0
41,CAR0012,PONTO 24,30.0
42,CAR0012,PONTO 24,30.0
43,CAR0012,PONTO 24,30.0
44,CAR0012,PONTO 24,30.0
45,CAR0012,PONTO 24,30.0
46,CAR0012,PONTO 24,30.0
47,CAR0012,PONTO 24,30.0
48,CAR0012,PONTO 24,30.0
49,CAR0012,PONTO 24,30.0
50,CAR0012,PONTO 24,30.0
51,CAR0012,PONTO 24,30.0
52,CAR0012,PONTO 24,30.0
53,CAR0012,PONTO 24,30.0
54,CAR0012,PONTO 24,30.0
55,CAR0012,PONTO 24,30.0
56,CAR0012,PONTO 24,30.0
57,CAR0012,PONTO 24,30.0
58,CAR0012,PONTO 24,30.0
59,CAR0012,PONTO 24,30.0
60,CAR0012,PONTO 24,30.0
61,CAR0012,PONTO 24,30.0
62,CAR0012,PONTO 24,30.0
63,CAR0012,PONTO 24,30.0
64,CAR0012,PONTO 24,30.0
65,CAR0012,PONTO 24,30.0
66,CAR0012,PONTO 24,30.0
67,CAR0012,PONTO 24,30.0
68,CAR0012,PONTO 24,30.0
69,CAR0012,PONTO 24,30.0
70,CAR0012,PONTO 24,30.0
71,CAR0012,PONTO 24,30.0
72,CAR0012,PONTO 24,30.0
73,CAR0012,PONTO 24,30.0
74,CAR0012,PONTO 24,30.0
75,CAR0012,PONTO 24,30.0
76,CAR0012,PONTO 24,30.0
77,CAR0012,PONTO 24,30.0
78,CAR0012,PONTO 24,30.0
79,CAR0012,PONTO 24,30.0
80,CAR0012,PONTO 24,30.0
81,CAR0012,PONTO 24,2.0
82,CAR0012,PONTO 24,1.0
83,CAR0012,PONTO 24,2.0
84,CAR0012,PONTO 24,2.0
85,CAR0012,PONTO 24,2.0
